id,name
269,Orange - Los Alamitos
307,Orange - Mission Viejo
340,Orange - Newport Beach
349,Orange - Orange
352,Orange - Orange-Unincorporated
376,Orange - Placentia
614,Orange - Rancho Santa Margarita
432,Orange - San Clemente
446,Orange - San Juan Capistrano
461,Orange - Santa Ana
481,Orange - Seal Beach
515,Orange - Stanton
546,Orange - Tustin
559,Orange - Villa Park
573,Orange - Westminster
587,Orange - Yorba Linda
28,Placer - Auburn
92,Placer - Colfax
258,Placer - Lincoln
268,Placer - Loomis
378,Placer - Placer-Unincorporated
411,Placer - Rocklin
416,Placer - Roseville
383,Plumas - Plumas-Unincorporated
389,Plumas - Portola
34,Riverside - Banning
36,Riverside - Beaumont
49,Riverside - Blythe
66,Riverside - Calimesa
71,Riverside - Canyon Lake
77,Riverside - Cathedral City
90,Riverside - Coachella
105,Riverside - Corona
127,Riverside - Desert Hot Springs
627,Riverside - Eastvale
193,Riverside - Hemet
212,Riverside - Indian Wells
213,Riverside - Indio
628,Riverside - Jurupa Valley
238,Riverside - La Quinta
244,Riverside - Lake Elsinore
626,Riverside - Menifee
324,Riverside - Moreno Valley
329,Riverside - Murrieta
341,Riverside - Norco
359,Riverside - Palm Desert
360,Riverside - Palm Springs
369,Riverside - Perris
393,Riverside - Rancho Mirage
408,Riverside - Riverside
410,Riverside - Riverside-Unincorporated
440,Riverside - San Jacinto
529,Riverside - Temecula
625,Riverside - Wildomar
601,Sacramento - Citrus Heights
613,Sacramento - Elk Grove
159,Sacramento - Folsom
172,Sacramento - Galt
221,Sacramento - Isleton
618,Sacramento - Rancho Cordova
418,Sacramento - Sacramento
602,Sacramento - Sacramento County/City of Citrus Heights Regional Agency
420,Sacramento - Sacramento-Unincorporated
200,San Benito - Hollister
423,San Benito - San Benito County Integrated Waste Management Regional Agency
425,San Benito - San Benito-Unincorporated
445,San Benito - San Juan Bautista
1,San Bernardino - Adelanto
19,San Bernardino - Apple Valley
35,San Bernardino - Barstow
